Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,52.200001,55.200001,51.630001,54.400002,42.597275,109465800
2008-04-07,54.689999,55.330002,53.740002,54.799999,42.910484,106574600
2008-04-14,54.889999,57.360001,54.860001,56.310001,44.092873,111905600
2008-04-21,56.070000,58.040001,55.750000,57.650002,45.142143,80451500
2008-04-28,57.500000,59.090000,56.900002,57.500000,45.024685,88570700
2008-05-05,57.080002,57.599998,56.029999,57.180000,44.774117,104212400
2008-05-12,57.689999,58.369999,56.369999,57.040001,44.664490,95888700
2008-05-19,56.950001,57.049999,55.049999,55.750000,43.838150,86382200
2008-05-26,55.799999,58.150002,55.799999,57.740002,45.402969,68366000
2008-06-02,57.410000,59.900002,56.520000,58.369999,45.898350,108325600
2008-06-09,58.980000,59.950001,58.439999,59.180000,46.535290,105476900
2008-06-16,58.900002,59.529999,56.200001,56.259998,44.239193,101614800
2008-06-23,56.599998,58.730000,55.849998,56.299999,44.270645,105688800
2008-06-30,56.730000,57.820000,55.610001,56.599998,44.506542,77518200
2008-07-07,56.750000,59.290001,55.639999,56.290001,44.262787,138220900
2008-07-14,57.000000,58.070000,55.340000,57.919998,45.544518,119472900
2008-07-21,58.080002,59.560001,56.580002,56.830002,44.687405,111476600
2008-07-28,56.790001,59.369999,55.950001,57.750000,45.410828,88427100
2008-08-04,57.580002,61.000000,56.810001,57.860001,45.497322,137019600
2008-08-11,57.869999,59.930000,56.889999,59.369999,46.684685,116677500
2008-08-18,59.500000,59.599998,57.480000,59.439999,46.927834,65217600
2008-08-25,59.270000,60.040001,58.040001,59.070000,46.635719,59628800
2008-09-01,59.900002,60.990002,59.020000,60.740002,47.954189,89282800
2008-09-08,61.389999,63.230000,60.250000,62.410000,49.272648,125632700
2008-09-15,61.200001,63.849998,59.099998,59.700001,47.133118,186686900
2008-09-22,59.450001,60.900002,58.150002,60.709999,47.930504,104090600
2008-09-29,60.049999,60.849998,57.740002,59.730000,47.156796,130143100
2008-10-06,58.689999,59.549999,47.400002,50.950001,40.224998,214848400
2008-10-13,52.680000,56.070000,48.730000,53.770000,42.451385,164672300
2008-10-20,54.650002,55.500000,49.990002,51.400002,40.580261,140818100
2008-10-27,50.849998,56.799999,49.599998,55.810001,44.061958,152340300
2008-11-03,56.759998,57.250000,53.060001,54.389999,42.940876,115887600
2008-11-10,55.110001,55.730000,51.060001,52.709999,41.614502,133855400
2008-11-17,52.770000,53.799999,50.200001,52.919998,41.780304,174459000
2008-11-24,53.299999,57.000000,52.230000,55.880001,44.117222,90596100
2008-12-01,55.369999,58.709999,52.220001,58.209999,45.956753,142072700
2008-12-08,58.580002,59.230000,53.750000,54.630001,43.130348,127339400
2008-12-15,54.990002,56.910000,54.009998,55.740002,44.196682,121290200
2008-12-22,55.990002,56.500000,55.169998,55.349998,43.887447,40804000
2008-12-29,55.349998,57.509998,54.330002,57.180000,45.338459,53960000
2009-01-05,56.959999,57.349998,50.310001,51.580002,40.898193,173485400
2009-01-12,51.500000,52.700001,50.330002,51.560001,40.882324,113641100
2009-01-19,51.410000,51.639999,47.770000,48.349998,38.337086,115853500
2009-01-26,48.639999,49.639999,46.919998,47.119999,37.361820,99512400
2009-02-02,46.570000,50.080002,46.250000,49.630001,39.352020,131509200
2009-02-09,49.560001,49.560001,46.480000,46.529999,36.893990,107703800
2009-02-16,47.529999,50.669998,47.299999,50.020000,39.661247,143167500
2009-02-23,50.349998,50.439999,47.580002,49.240002,39.042778,126652700
2009-03-02,48.810001,51.000000,47.000000,48.910000,38.781120,165241000
2009-03-09,48.560001,49.470001,47.150002,49.189999,39.003128,130808800
2009-03-16,49.340000,51.099998,48.660000,49.590000,39.541687,102253800
2009-03-23,50.279999,53.000000,49.349998,52.570000,41.917862,109094900
2009-03-30,52.000000,54.570000,51.060001,53.799999,42.898624,98919300
2009-04-06,53.410000,53.750000,49.650002,50.660000,40.394875,89367300
2009-04-13,50.799999,51.980000,50.139999,50.200001,40.028084,95561500
2009-04-20,50.090000,50.439999,47.720001,47.869999,38.170200,99443700
2009-04-27,47.759998,51.099998,47.639999,50.049999,39.908485,120904600
2009-05-04,50.209999,51.380001,49.070000,50.139999,39.980244,116737600
2009-05-11,49.970001,51.330002,48.119999,48.150002,38.393475,100770000
2009-05-18,48.799999,50.299999,48.669998,49.250000,39.481934,80706400
2009-05-25,49.180000,50.820000,48.919998,49.740002,39.874767,63057600
2009-06-01,50.180000,51.750000,49.580002,51.070000,40.940983,97747900
2009-06-08,50.990002,51.160000,49.209999,49.840000,39.954929,90156700
2009-06-15,49.099998,49.200001,48.049999,48.169998,38.616158,102284100
2009-06-22,48.099998,49.450001,48.020000,48.630001,38.984917,93346400
2009-06-29,48.709999,49.080002,47.759998,47.790001,38.311527,72581200
2009-07-06,47.740002,48.849998,47.349998,47.570000,38.135151,85322400
2009-07-13,47.599998,48.709999,47.419998,48.490002,38.872681,81518000
2009-07-20,48.660000,49.529999,48.220001,48.939999,39.233440,89088200
2009-07-27,49.099998,50.430000,48.529999,49.880001,39.987003,74722500
2009-08-03,50.220001,50.279999,48.750000,49.290001,39.514011,80790000
2009-08-10,49.380001,52.250000,49.009998,51.790001,41.518173,96991500
2009-08-17,51.299999,52.099998,50.950001,51.360001,41.398895,74724100
2009-08-24,51.520000,52.560001,50.610001,51.130001,41.213516,74503800
2009-08-31,51.020000,52.099998,50.639999,51.680000,41.656849,76865200
2009-09-07,51.720001,51.799999,50.619999,50.720001,40.883030,68176300
2009-09-14,50.369999,50.580002,49.750000,50.110001,40.391342,111764300
2009-09-21,50.029999,51.299999,49.419998,49.470001,39.875458,82126500
2009-09-28,49.599998,49.700001,48.730000,49.080002,39.561100,91544500
2009-10-05,49.000000,50.029999,48.849998,49.970001,40.278492,74765100
2009-10-12,50.029999,51.410000,49.470001,51.220001,41.286072,91511900
2009-10-19,51.349998,52.000000,49.980000,50.439999,40.657349,90274200
2009-10-26,50.580002,50.610001,49.619999,49.680000,40.044750,79905700
2009-11-02,49.810001,51.349998,49.520000,51.250000,41.310234,74815400
2009-11-09,51.660000,53.740002,51.410000,53.200001,42.882042,101304200
2009-11-16,53.349998,54.869999,52.810001,54.279999,43.752579,78837400
2009-11-23,54.779999,55.090000,54.090000,54.630001,44.034706,39124000
2009-11-30,54.529999,55.080002,53.950001,54.240002,43.720345,56505700
2009-12-07,54.139999,55.000000,53.759998,54.650002,44.050823,61399800
2009-12-14,54.580002,54.599998,52.310001,52.849998,42.814346,88959600
2009-12-21,52.939999,53.750000,52.930000,53.599998,43.421944,38493600
2009-12-28,53.790001,54.369999,53.419998,53.450001,43.300407,31251300
2010-01-04,53.740002,54.669998,53.020000,53.330002,43.203213,70944600
2010-01-11,53.330002,55.200001,53.099998,53.680000,43.486740,75254900
2010-01-18,53.910000,54.259998,52.689999,52.939999,42.887257,63371700
2010-01-25,53.139999,54.150002,52.509998,53.430000,43.284218,82020300
2010-02-01,53.619999,54.500000,52.759998,53.450001,43.300407,76972000
2010-02-08,53.380001,53.619999,52.660000,52.900002,42.854858,59357300
2010-02-15,53.240002,54.250000,52.900002,53.490002,43.332829,75853300
2010-02-22,53.520000,54.279999,53.250000,54.070000,43.802677,66322400
2010-03-01,54.040001,54.169998,53.150002,54.139999,43.859394,60428500
2010-03-08,54.009998,54.500000,53.529999,53.900002,43.664978,53990100
2010-03-15,54.389999,56.270000,54.349998,55.340000,45.083794,81978400
2010-03-22,55.310001,56.000000,55.130001,55.509998,45.222298,47682700
2010-03-29,55.500000,56.049999,55.169998,55.490002,45.206001,38472800
2010-04-05,55.700001,55.900002,54.630001,55.070000,44.863850,56926000
2010-04-12,55.020000,55.209999,53.840000,54.110001,44.081764,76383600
2010-04-19,54.000000,54.820000,53.919998,54.529999,44.423908,59424200
2010-04-26,54.529999,54.700001,53.520000,53.639999,43.698856,78429200
2010-05-03,53.880001,54.950001,51.529999,52.400002,42.688675,100594400
2010-05-10,53.060001,53.240002,51.830002,52.119999,42.460564,91430000
2010-05-17,52.410000,54.450001,50.509998,51.369999,42.092274,121396400
2010-05-24,51.040001,51.540001,50.000000,50.560001,41.428577,84698200
2010-05-31,50.799999,52.080002,50.220001,50.400002,41.297466,64270400
2010-06-07,50.459999,51.680000,50.320000,50.860001,41.674385,86224900
2010-06-14,51.110001,51.910000,50.889999,51.549999,42.239769,82204700
2010-06-21,51.709999,51.880001,48.799999,48.799999,39.986435,104411700
2010-06-28,49.060001,49.770000,47.770000,48.000000,39.330925,85132500
2010-07-05,49.340000,49.549999,48.160000,49.430000,40.502659,58659000
2010-07-12,49.779999,50.689999,49.520000,49.669998,40.699306,65546800
2010-07-19,49.720001,51.810001,49.090000,51.669998,42.338097,65521600
2010-07-26,51.669998,51.779999,50.500000,51.189999,41.944786,58917700
2010-08-02,51.549999,51.790001,50.950001,51.790001,42.436417,48307800
2010-08-09,51.830002,52.480000,50.000000,50.400002,41.297466,51309700
2010-08-16,50.169998,51.619999,50.000000,50.220001,41.389732,69045000
2010-08-23,50.570000,51.790001,50.389999,51.000000,42.032597,70034700
2010-08-30,51.020000,52.090000,50.119999,52.040001,42.889729,68112600
2010-09-06,52.070000,52.560001,51.520000,51.970001,42.832027,34993900
2010-09-13,52.250000,53.330002,52.009998,53.009998,43.689167,60810000
2010-09-20,53.099998,54.389999,53.090000,54.080002,44.571022,45654800
2010-09-27,53.910000,54.009998,53.049999,53.360001,43.977619,48804000
2010-10-04,53.340000,54.820000,53.139999,54.410000,44.843002,44335700
2010-10-11,54.520000,54.740002,52.930000,53.349998,43.969383,63791600
2010-10-18,53.250000,54.340000,53.130001,54.060001,44.554543,44594900
2010-10-25,54.180000,54.730000,53.549999,54.169998,44.645199,47493500
